Id,Vykazovane_zjisteno_mvcr,Vykazovane_objasneno_mvcr,FK_Crime_Lookup,FK_Area_Lookup,FK_Time_Range,Vykazovane_zjisteno_mesic,Vykazovane_objasneno_mesic,FK_District_Lookup
509,10,4,5,0,1,10,4,86
510,0,0,5,0,1,0,0,87
511,1749,851,6,1,1,1749,851,0
512,331,235,6,2,1,331,235,0
513,234,132,6,3,1,234,132,0
514,119,65,6,4,1,119,65,0
515,50,33,6,5,1,50,33,0
516,159,90,6,6,1,159,90,0
517,65,21,6,7,1,65,21,0
518,205,57,6,8,1,205,57,0
519,165,52,6,9,1,165,52,0
520,75,10,6,10,1,75,10,0
521,73,25,6,11,1,73,25,0
522,63,21,6,12,1,63,21,0
523,39,10,6,13,1,39,10,0
524,97,48,6,14,1,97,48,0
525,74,52,6,15,1,74,52,0
526,77,61,6,0,1,77,61,1
527,60,39,6,0,1,60,39,2
528,123,99,6,0,1,123,99,3
529,71,36,6,0,1,71,36,4
530,0,0,6,0,1,0,0,5
531,19,8,6,0,1,19,8,6
532,11,2,6,0,1,11,2,7
533,29,14,6,0,1,29,14,8
534,28,20,6,0,1,28,20,9
535,6,3,6,0,1,6,3,10
536,30,18,6,0,1,30,18,11
537,24,24,6,0,1,24,24,12
538,26,13,6,0,1,26,13,13
539,22,6,6,0,1,22,6,14
540,6,2,6,0,1,6,2,15
541,10,8,6,0,1,10,8,16
542,14,8,6,0,1,14,8,17
543,9,6,6,0,1,9,6,18
544,39,22,6,0,1,39,22,19
545,9,6,6,0,1,9,6,20
546,20,10,6,0,1,20,10,21
547,12,4,6,0,1,12,4,22
548,5,4,6,0,1,5,4,23
549,13,3,6,0,1,13,3,24
550,21,16,6,0,1,21,16,25
551,0,0,6,0,1,0,0,26
552,13,11,6,0,1,13,11,27
553,16,7,6,0,1,16,7,28
554,1,1,6,0,1,1,1,29
555,12,10,6,0,1,12,10,30
556,1,0,6,0,1,1,0,31
557,7,4,6,0,1,7,4,32
558,32,21,6,0,1,32,21,33
559,26,18,6,0,1,26,18,34
560,28,12,6,0,1,28,12,35
561,23,9,6,0,1,23,9,36
562,20,15,6,0,1,20,15,37
563,19,11,6,0,1,19,11,38
564,11,4,6,0,1,11,4,39
565,13,5,6,0,1,13,5,40
566,14,3,6,0,1,14,3,41
567,11,4,6,0,1,11,4,42
568,9,2,6,0,1,9,2,43
569,18,7,6,0,1,18,7,44
570,0,0,6,0,1,0,0,45
571,99,32,6,0,1,99,32,46
572,15,2,6,0,1,15,2,47
573,19,2,6,0,1,19,2,48
574,22,11,6,0,1,22,11,49
575,26,4,6,0,1,26,4,50
576,24,6,6,0,1,24,6,51
577,0,0,6,0,1,0,0,52
578,0,0,6,0,1,0,0,53
579,13,5,6,0,1,13,5,54
580,21,9,6,0,1,21,9,55
581,35,10,6,0,1,35,10,56
582,17,2,6,0,1,17,2,57
583,18,5,6,0,1,18,5,58
584,61,21,6,0,1,61,21,59
585,0,0,6,0,1,0,0,60
586,25,1,6,0,1,25,1,61
587,18,2,6,0,1,18,2,62
588,9,2,6,0,1,9,2,63
589,8,3,6,0,1,8,3,64
590,15,2,6,0,1,15,2,65
591,19,5,6,0,1,19,5,66
592,12,2,6,0,1,12,2,67
593,16,11,6,0,1,16,11,68
594,26,7,6,0,1,26,7,69
595,20,13,6,0,1,20,13,70
596,20,3,6,0,1,20,3,71
597,8,0,6,0,1,8,0,72
598,11,4,6,0,1,11,4,73
599,4,1,6,0,1,4,1,74
600,6,2,6,0,1,6,2,75
601,18,2,6,0,1,18,2,76
602,5,3,6,0,1,5,3,77
603,10,3,6,0,1,10,3,78
604,0,0,6,0,1,0,0,79
605,30,16,6,0,1,30,16,80
606,27,12,6,0,1,27,12,81
607,35,20,6,0,1,35,20,82
608,5,0,6,0,1,5,0,83
609,30,28,6,0,1,30,28,84
610,15,9,6,0,1,15,9,85
611,29,15,6,0,1,29,15,86
612,0,0,6,0,1,0,0,87
613,4620,3315,7,1,1,4620,3315,0
614,377,307,7,2,1,377,307,0
615,550,375,7,3,1,550,375,0
616,224,162,7,4,1,224,162,0
617,255,204,7,5,1,255,204,0
618,644,526,7,6,1,644,526,0
619,240,192,7,7,1,240,192,0
620,430,275,7,8,1,430,275,0
621,543,338,7,9,1,543,338,0
622,256,148,7,10,1,256,148,0
